client_id,feature_value,other_data
client1,10.5,abc
client2,15.2,def
client1,12.0,ghi
client3,20.0,jkl
client2,16.8,mno
client3,22.5,pqr
client1,13.7,stu
client2,18.1,vwx
client3,19.3,yz
client1,25.3,alpha
client2,28.7,beta
client3,26.1,gamma
client1,30.8,delta
client2,32.5,epsilon
client3,35.1,zeta
client1,33.6,eta
client2,37.9,theta
client3,40.5,iota
client1,42.2,kappa
client2,41.9,lambda
client3,43.6,mu
client1,45.8,nu
client2,48.1,xi
client3,46.3,omicron
client1,50.7,pi
client2,52.9,rho
client3,55.2,sigma
client1,53.4,tau
client2,57.6,upsilon
client3,60.9,phi
client1,63.2,chi
client2,61.7,psi
client3,65.4,omega
client1,11.2,a1
client2,16.1,b2
client3,21.5,c3
client1,27.0,d4
client2,29.8,e5
client3,33.1,f6
client1,36.5,g7
client2,40.8,h8
client3,43.2,i9
client1,46.0,j10
client2,49.5,k11
client3,53.0,l12
client1,56.3,m13
client2,62.0,n14
client3,64.8,o15
client1,12.8,p16
client2,17.5,q17
client3,23.0,r18
client1,28.5,s19
client2,31.2,t20
client3,34.5,u21
client1,38.0,v22
client2,42.0,w23
client3,44.5,x24
client1,47.5,y25
client2,51.0,z26
client3,54.5,aa27
client1,58.0,bb28
client2,63.2,cc29
client3,66.0,dd30
client1,13.5,ee31
client2,18.8,ff32
client3,24.2,gg33
client1,29.8,hh34
client2,32.5,ii35
client3,35.8,jj36
client1,39.3,kk37
client2,42.8,ll38
client3,45.2,mm39
client1,48.5,nn40
client2,52.0,oo41
client3,55.5,pp42
client1,59.0,qq43
client2,64.0,rr44
client3,67.0,ss45
client1,14.2,tt46
client2,19.5,uu47
client3,25.0,vv48
client1,30.5,ww49
client2,33.2,xx50
client3,36.5,yy51
client1,40.0,zz52
client2,43.5,a53
client3,45.8,b54
client1,49.2,c55
client2,52.5,d56
client3,56.0,e57
client1,59.5,f58
client2,64.8,g59
client3,67.8,h60
client1,14.9,i61
client2,20.2,j62
client3,25.8,k63
client1,31.2,l64
client2,33.9,m65
client3,37.2,n66
client1,40.7,o67
client2,44.2,p68
client3,46.5,q69
client1,49.8,r70
client2,53.2,s71
client3,56.5,t72
client1,60.0,u73
client2,65.5,v74
client3,68.5,w75
client1,15.6,x76
client2,20.9,y77
client3,26.5,z78
client1,31.9,a79
client2,34.6,b80
client3,37.9,c81
client1,41.4,d82
client2,44.9,e83
client3,47.2,f84
client1,50.5,g85
client2,53.9,h86
client3,57.2,i87
client1,60.7,j88
client2,66.2,k89
client3,69.2,l90
client1,16.3,m91
client2,21.6,n92
client3,27.2,o93
client1,32.6,p94
client2,35.3,q95
client3,38.6,r96
client1,42.1,s97
client2,45.6,t98
client3,47.9,u99
client1,51.2,v100
client2,54.6,w101
client3,57.9,x102
client1,61.4,y103
client2,66.9,z104
client3,69.9,a105
client1,17.0,b106
client2,22.3,c107
client3,27.9,d108
client1,33.3,e109
client2,36.0,f110
client3,39.3,g111
client1,42.8,h112
client2,46.3,i113
client3,48.6,j114
client1,51.9,k115
client2,55.3,l116
client3,58.6,m117
client1,62.1,n118
client2,67.6,o119
client3,70.6,p120
client1,17.7,q121
client2,23.0,r122
client3,28.6,s123
client1,34.0,t124
client2,36.7,u125
client3,40.0,v126
client1,43.5,w127
client2,47.0,x128
client3,49.3,y129
client1,52.6,z130
client2,56.0,a131
client3,59.3,b132
client1,62.8,c133
client2,68.3,d134
client3,71.3,e135
client1,18.4,f136
client2,23.7,g137
client3,29.3,h138
client1,34.7,i139